id,prompt,A,B,C,D,E,answer
5939,"What was the name of the Swedish pop singer who released the song ""Ding Dong Song""?",The Swedish music charts,The Sunshine Girls,Phil & Company,Günther,Pleasureman,D
5940,"What is the plot of the film ""The Kiss"" and how do the main characters become cursed?","""The Kiss"" is a documentary that explores the historical significance of different types of kisses throughout time.","""The Kiss"" is a drama about a tragic love story between two people from different social backgrounds who are torn apart by circumstances beyond their control.","""The Kiss"" is a psychological thriller following the story of two sisters who are haunted by a curse after receiving a mysterious kiss from a stranger.","""The Kiss"" is a science fiction film set in a dystopian future where a forbidden kiss reveals a hidden truth about humanity's existence.","""The Kiss"" is a romantic comedy about two strangers who accidentally kiss at a party and then embark on a wild adventure together.",C
5941,In which administrative district is the village of Płonina located?,Gmina Ożarów,Gmina Chmielów,Gmina Bolków,Gmina Koźmin Wielkopolski,Gmina Gniewoszów,C
5942,Which of the following accurately describes the production period of the Holden FE automobile?,"The Holden FE was an automobile produced by Holden in Australia from 1956 until 1958, and was also assembled in New Zealand starting from January 1, 1958.","The Holden FE was an automobile produced by Holden in Australia from 1956 until 1958, and was also assembled in New Zealand starting from January 31, 1957.","The Holden FE was an automobile produced by Holden in Australia from 1958 until 1960, and was also assembled in New Zealand starting from January 31, 1957.","The Holden FE was an automobile produced by Holden in Australia from 1958 until 1960, and was also assembled in New Zealand starting from January 1, 1958.","The Holden FE was an automobile produced by Holden in Australia from 1956 until 1957, and was also assembled in New Zealand starting from January 31, 1957.",B
5943,What is the European record held by Eilish McColgan?,"Commonwealth Games 10,000 meters champion with the Games record",Bronze medalist in the indoor 3000 meters,"British record holder for the 10,000 meters",European best in the 10 miles on the roads,"5,000 meters silver medalist",D
5944,What political party did John Malcolm Fraser belong to?,John Malcolm Fraser belonged to the Liberal Party of Australia.,John Malcolm Fraser belonged to the Australian Labor Party.,John Malcolm Fraser did not belong to any political party.,John Malcolm Fraser belonged to the Australian Greens.,John Malcolm Fraser belonged to the National Party of Australia.,A
5945,"Which district is Oberraden located in within the state of Rhineland-Palatinate, Germany?",Koblenz,Neuwied,Ludwigshafen,Mainz,Trier,B
5946,What league is Daniel Olsson-Trkulja currently playing in?,Daniel Olsson-Trkulja is playing in the National Hockey League.,Daniel Olsson-Trkulja is playing in the Swedish Hockey League.,Daniel Olsson-Trkulja is playing in the Metal Ligaen.,Daniel Olsson-Trkulja is playing in the American Hockey League.,Daniel Olsson-Trkulja is playing in the KHL (Kontinental Hockey League).,C
5947,Which gaming platforms was Andre Agassi Tennis released for?,"Super Nintendo Entertainment System, Genesis, Master System, Game Gear, and Xbox.","Super Nintendo Entertainment System, Genesis, Master System, and Game Gear.","Super Nintendo Entertainment System, Genesis, Master System, Game Gear, and PlayStation.","Sega Saturn, Genesis, Master System, and Game Gear.","Sega Saturn, Genesis, Master System, Game Gear, and Game Boy.",B
5948,What position did Raju Guldai play in his professional football career?,Raju Guldai played as a midfielder for Mumbai City in the Indian Super League.,Raju Guldai played as a goalkeeper for Mumbai City in the Indian Super League.,Raju Guldai played as a substitute for Mumbai City in the Indian Super League.,Raju Guldai played as a forward for Mumbai City in the Indian Super League.,Raju Guldai played as a defender for Mumbai City in the Indian Super League.,D
5949,What is the distinguishing feature of Epimartyria bimaculella?,Epimartyria bimaculella is a moth species that exclusively feeds on a particular species of plant.,Epimartyria bimaculella is a moth species known for its vibrant coloration and pattern.,Epimartyria bimaculella is a moth species native to northwestern Washington and southern British Columbia.,Epimartyria bimaculella is a moth species that builds elaborate silk nests in trees.,Epimartyria bimaculella is a moth species capable of producing a unique pheromone for attracting mates.,C
5950,"According to the provided information, where is Neugersdorf located?","Neugersdorf is located on the border with the Czech Republic, 4 km south of Ebersbach.","Neugersdorf is located in the Free State of Saxony, Germany.","Neugersdorf is located on the border with Poland, 4 km south of Ebersbach.","Neugersdorf is located in Zittau, Germany.","Neugersdorf is located in the district Görlitz, Germany.",A
5951,What is the significance of Rochefort-sur-Loire?,Rochefort-sur-Loire is a popular tourist destination due to its picturesque location on the banks of the Loire River and its charming historic buildings.,"Rochefort-sur-Loire is a major industrial hub with a strong focus on manufacturing, contributing significantly to the region's economy.","Rochefort-sur-Loire is renowned for its local cuisine, particularly its signature dish of roasted duck with honey and thyme.","Rochefort-sur-Loire is known for its centuries-old winemaking traditions, producing some of the finest wines in France.",Rochefort-sur-Loire is home to a prestigious research institute specializing in marine biology and environmental conservation.,A
5952,In which year was Shinya Makabe named in Japan's squad for the Rugby World Cup?,2014,2015,2016,2013,2017,B
5953,What is the primary contribution of Federico García Lorca to Spanish literature?,"García Lorca wrote exclusively in Spanish, promoting the language in literature.",García Lorca emphasized the role of playwrights in Spanish literature.,García Lorca focused on the use of symbolism in his poems.,"García Lorca led the Generation of '27, a group of Spanish poets.",García Lorca introduced European movements into Spanish literature.,E
5954,What type of subjects did Marco Antonio Ghislina primarily paint in a Baroque-style?,Landscapes depicting the picturesque Italian countryside.,Still life compositions with fruit and flowers.,Portraits of famous individuals from the Renaissance period.,Mythological scenes featuring gods and goddesses.,Sacred subjects with religious themes.,E
5955,What is Parque del Plata?,A historic town famous for its ancient ruins and archaeological sites.,A city of the Costa de Oro in the Canelones Department of southern Uruguay.,A popular tourist destination on the northern coast of Uruguay.,A natural park known for its diverse wildlife and hiking trails.,"A neighborhood located in Montevideo, the capital city of Uruguay.",B
5956,"What is the significance of the name change for the arena in Plymouth Township, Michigan?",The name change was a result of the arena being purchased by a new foundation.,The name change was made to reflect the arena's updated technological capabilities.,The name change was executed to attract more non-sporting events to the arena.,The name change was done to honor a famous hockey player who played in the arena.,The name change was mandated by the local government due to a legal dispute.,A
5957,How often are the Rangpur City Corporation elections held?,Every 10 years,Every 7 years,Every 4 years,Every 2 years,Every 5 years,E
5958,"What is Lodgers in Bayard Street Tenement, Five Cents a Spot?","Lodgers in Bayard Street Tenement, Five Cents a Spot is a black and white photograph taken by Jacob Riis, included in his photographic book How the Other Half Lives, published in 1890.","Lodgers in Bayard Street Tenement, Five Cents a Spot is a painting done by Jacob Riis, depicting the living conditions of tenement dwellers in New York City in the late 19th century.","Lodgers in Bayard Street Tenement, Five Cents a Spot is a sculpture created by Jacob Riis, showcasing the harsh realities of poverty in America.","Lodgers in Bayard Street Tenement, Five Cents a Spot is a documentary series created by Jacob Riis, exploring the hardships faced by marginalized communities during the late 19th century.","Lodgers in Bayard Street Tenement, Five Cents a Spot is a short film directed by Jacob Riis, highlighting the social inequality present in urban areas.",A
5959,Where is Dongpu Station located?,Dongpu Station is located underground Huangpu Avenue East (黄埔大道东) to the west of the Guangzhou Ring Road Expressway (广州环城高速公路) in the Tianhe District.,Dongpu Station is located above ground Huangpu Avenue West (黄埔大道西) to the east of the Guangzhou Ring Road Expressway (广州环城高速公路) in the Tianhe District.,Dongpu Station is located above ground Huangpu Avenue East (黄埔大道东) to the east of the Guangzhou Ring Road Expressway (广州环城高速公路) in the Tianhe District.,Dongpu Station is located above ground Huangpu Avenue West (黄埔大道西) to the west of the Guangzhou Ring Road Expressway (广州环城高速公路) in the Tianhe District.,Dongpu Station is located underground Huangpu Avenue East (黄埔大道东) to the west of the Guangzhou Ring Road Expressway (广州环城高速公路) in the Panyu District.,A
5960,"In the historical fortress of Kangelo Castle, what was its purpose according to historians?",Kangelo Castle was used as a place of worship for the ancient Persian god Mithra.,Kangelo Castle was a center for trade and commerce during the time of the Sassanian Empire.,Kangelo Castle was built as a military stronghold to defend the Sassanian Empire.,Kangelo Castle was a strategic outpost for communication and signal transmission in the region.,Kangelo Castle served as a royal residence for the ruling Sassanian dynasty.,A
5961,"What was the primary focus of The Academia Waltz, Berkeley Breathed's first comic strip?",The Academia Waltz primarily focused on the life of a professional athlete.,The Academia Waltz primarily focused on a group of students navigating the challenges of high school.,The Academia Waltz primarily focused on the adventures of a superhero in a fictional city.,The Academia Waltz primarily focused on a fantasy world filled with mythical creatures.,"The Academia Waltz primarily focused on college life, with occasional references to big news stories.",E
5962,"What was the role of Gustave Eiffel in the construction of Ponte Eiffel in Viana do Castelo, Portugal?","Gustave Eiffel supervised the construction of Ponte Eiffel, ensuring its structural integrity.",Gustave Eiffel collaborated with local engineers to design Ponte Eiffel.,Gustave Eiffel was responsible for the design and construction of Ponte Eiffel's rail infrastructure.,Gustave Eiffel provided financial support for the construction of Ponte Eiffel.,Gustave Eiffel was the lead architect and engineer of Ponte Eiffel.,A
5963,Who was Eulalio Ríos Alemán?,Eulalio Ríos Alemán was a Mexican Olympic swimmer.,Eulalio Ríos Alemán was a celebrated actor who appeared in numerous Mexican films and television shows.,Eulalio Ríos Alemán was a prominent Mexican politician who served as the President of Mexico.,Eulalio Ríos Alemán was a renowned musician known for his expertise in playing the guitar.,Eulalio Ríos Alemán was a gifted artist known for his exceptional skills in painting and sculpture.,A
5964,What is the notable profession of Stéphane Rotenberg?,Stéphane Rotenberg is a French historian and author.,Stéphane Rotenberg is a French football player and coach.,Stéphane Rotenberg is a French journalist and television presenter.,Stéphane Rotenberg is a French chef and restaurateur.,Stéphane Rotenberg is a French fashion designer and model.,C
5965,Who is Lolwah Rashid Mohammed Al-Khater?,Lolwah Rashid Mohammed Al-Khater is a Qatari athlete who is the first Qatari woman to hold the position of Spokesperson for the Qatari Ministry of Foreign Affairs and Assistant Foreign Minister of Qatar.,Lolwah Rashid Mohammed Al-Khater is a Qatari diplomat who holds the position of Spokesperson for the Qatari Ministry of Foreign Affairs and Assistant Foreign Minister of Qatar.,Lolwah Rashid Mohammed Al-Khater is a Qatari journalist who is the first Qatari woman to hold the position of Spokesperson for the Qatari Ministry of Foreign Affairs and Assistant Foreign Minister of Qatar.,Lolwah Rashid Mohammed Al-Khater is a Qatari scientist who is the first Qatari woman to hold the position of Spokesperson for the Qatari Ministry of Foreign Affairs and Assistant Foreign Minister of Qatar.,Lolwah Rashid Mohammed Al-Khater is a Qatari actress who is the first Qatari woman to hold the position of Spokesperson for the Qatari Ministry of Foreign Affairs and Assistant Foreign Minister of Qatar.,B
5966,What is Wellington City Council?,"Wellington City Council is a territorial authority in New Zealand, governing the city of Wellington, the country's capital city and third-largest city by population, behind Auckland and Christchurch.","Wellington City Council is a territorial authority in New Zealand, governing the city of Wellington and the adjacent cities of Porirua and Hutt City.","Wellington City Council is a territorial authority in New Zealand, governing the city of Wellington, the country's capital city and third-largest city by population, behind Auckland. It does not have jurisdiction over the cities of Porirua and Hutt City.","Wellington City Council is a territorial authority in New Zealand, governing the city of Wellington, the country's capital city, and nine other territorial authorities in the Wellington Region.","Wellington City Council is a territorial authority in New Zealand, governing the city of Wellington and the entire Wellington Region, which includes the cities of Porirua and Hutt City.",A
5967,What are the achievements of figure skater Georgi Kenchadze?,Georgi Kenchadze is a former Bulgarian national champion and a two-time competitor at the World Junior Championships.,Georgi Kenchadze is a Georgian figure skater who is currently competing with his partner Sarah May Coward.,Georgi Kenchadze is a Bulgarian figure skater of Georgian descent and a current ice dance champion for Bulgaria.,Georgi Kenchadze is a former Bulgarian national silver medalist and a twin brother of a pair skater.,Georgi Kenchadze is a former Bulgarian national bronze medalist and a current ice dance champion for Bulgaria.,A
5968,"What is the term used to describe the municipality located in the province of Burgos, Castile and León, Spain with a population of 194 inhabitants, according to the 2004 census (INE)?",INE,Fuentelcésped,Burgos,Spain,Castile and León,B
5969,"What is the population of Ocean View according to the 2010 census, and how does this population compare to the previous decade?","The population of Ocean View was 1,882 at the 2010 census, a decrease of 87.1% over the previous decade.","The population of Ocean View was 1,882 at the 2010 census, an increase of 87.1% over the previous decade.","The population of Ocean View was 2,000 at the 2010 census, an increase of 75% over the previous decade.","The population of Ocean View was 1,500 at the 2010 census, an increase of 50% over the previous decade.","The population of Ocean View was 1,500 at the 2010 census, a decrease of 50% over the previous decade.",B
5970,"When was the Petaling Jaya Rangers Football Club founded, and where is their current home ground located?","Petaling Jaya Rangers Football Club was founded in 2012, and their current home ground is in AirAsia Stadium in Petaling Jaya.","Petaling Jaya Rangers Football Club was founded in 2011, and their current home ground is in Shah Alam Stadium in Petaling Jaya.","Petaling Jaya Rangers Football Club was founded in 2010, and their current home ground is in AirAsia Stadium in Selangor.","Petaling Jaya Rangers Football Club was founded in 2013, and their current home ground is in AirAsia Stadium in Selangor.","Petaling Jaya Rangers Football Club was founded in 2011, and their current home ground is in AirAsia Stadium in Petaling Jaya.",E
5971,"What is one of the main attractions of Andamooka, a town in Far North South Australia?",Andamooka is famous for high-quality crystal seam opal and opalised fossils.,"Andamooka is home to South Australia's only known dinosaur, Kakuru kujani.",Andamooka is the largest town administered by the Outback Communities Authority.,Andamooka is the Gateway to 'Ngarndamukia' Lake Torrens National Park.,Andamooka has a luxury brand called Andamooka Crystal Opal.,A
5972,What is the main factor contributing to the Teton River receiving more rainfall than many other rivers in the region?,The Teton Valley's unique geographic location.,None of the above.,The presence of a large reservoir upstream.,Increased evaporation due to extensive marshlands.,A volcanic hotspot beneath the river.,A
5973,"What was the purpose of the 39th Federal Congress of the Spanish Socialist Workers' Party, held in Madrid in June 2017?",The 39th Federal Congress aimed to establish a coalition with other political parties in Spain.,The main focus of the 39th Federal Congress was to discuss and advocate for changes in Spain's economic policies.,The congress aimed to address the ongoing issue of corruption within the Spanish Socialist Workers' Party.,The primary purpose of the 39th Federal Congress was to elect a new party leader for the Spanish Socialist Workers' Party (PSOE).,The primary objective of the 39th Federal Congress was to evaluate and revise the party's main lines of action and strategy after the sacking of Pedro Sánchez.,D
5974,What led to the revocation of Planet FM's radio licence in Mauritius?,A significant increase in advertising revenue.,A change in ownership and management.,Non-compliance with the Information and Communication Technologies Act 2001.,A thriving listener base and high ratings.,An irregular broadcasting schedule.,C
5975,What was the administrative center of the Kaytago-Tabasaransky okrug in the Russian Empire?,The administrative center of the Kaytago-Tabasaransky okrug is unknown as it is not mentioned in the provided Wikipedia excerpt.,The administrative center of the Kaytago-Tabasaransky okrug was Madzhalis.,The administrative center of the Kaytago-Tabasaransky okrug is currently located in contemporary Dagestan of the Russian Federation. ,The administrative center of the Kaytago-Tabasaransky okrug was the Caucasus Viceroyalty.,The administrative center of the Kaytago-Tabasaransky okrug was Dagestan Oblast.,B
5976,What is the common name for the pied honeyeater?,The black kite.,None of the above.,The white-backed woodpecker.,The spotted owl.,The western pied honeyeater.,E
5977,What is the purpose of high-performance liquid chromatography (HPLC)?,HPLC is used to identify and quantify the different components in a mixture by measuring their flow rates through the column.,HPLC is used to determine the chemical composition of a mixture by examining the reactions of each component with the adsorbent material.,HPLC is used to analyze the physical properties of each component in a mixture and determine their interaction with the adsorbent material.,HPLC is used to study the catalytic properties of the pressurized liquid solvent in order to enhance component separation.,HPLC is used to separate and purify individual components in a mixture based on their affinity for the pressurized liquid solvent.,A
5978,What was George Bemis most known for in his career?,His work in the field of legal scholarship and academic publications.,His efforts in exposing corruption within the legal profession and fighting for ethical standards.,His involvement in high-profile cases and groundbreaking legal rulings.,His contributions to the field of criminal law and justice system reform.,His expertise in international law and advocacy for global legal cooperation.,C
5979,What notable event did the USS Willoughby (AGP-9) witness during its service in the United States Navy?,"The bombing of Hiroshima and Nagasaki, leading to the surrender of Japan.","The victory at the Battle of Midway, a turning point in the Pacific Theater of World War II.","The D-Day invasion of Normandy, marking the beginning of the liberation of Europe.","The signing of the Japanese Instrument of Surrender, officially ending World War II.",The sinking of the USS Arizona during the attack on Pearl Harbor.,C
5980,What are the design specifications of the Ligier JS53?,"The Ligier JS53 is a Formula One race car, designed, developed, and built by Ligier, in collaboration with Onroak Automotive, conforming to FIA Group CN regulations, to compete in sports car racing and hillclimb events, since 2012.","The Ligier JS53 is a sports prototype race car, designed, developed, and built by Onroak Automotive alone, conforming to FIA Group CN regulations, to compete in sports car racing and hillclimb events, since 2012.","The Ligier JS53 is a sports prototype race car, designed, developed, and built by Ligier alone, conforming to FIA Group CN regulations, to compete in sports car racing and hillclimb events, since 2010.","The Ligier JS53 is a sports prototype race car, designed, developed, and built by Onroak Automotive, in collaboration with Ligier, conforming to FIA Group CN regulations, to compete in sports car racing and hillclimb events, since 2014.","The Ligier JS53 is a sports prototype race car, designed, developed, and built by Ligier, in collaboration with Onroak Automotive, conforming to FIA Group CN regulations, to compete in sports car racing and hillclimb events, since 2012.",E
5981,What is one of the examples of the roles held by Pope Gabriel VII of Alexandria (Anda Gabriel VII) during his tenure as the 95th Coptic Orthodox Pope of Alexandria and Patriarch of the See of St. Mark?,"Pope Gabriel VII played a crucial role in the preservation and restoration of historic Coptic Orthodox monasteries and churches, ensuring their cultural heritage was safeguarded for future generations.","Pope Gabriel VII actively promoted interfaith dialogue and cooperation, fostering positive relationships with leaders of other Christian denominations and promoting understanding and respect between different religious communities.","Pope Gabriel VII served as a diplomat, negotiating peace treaties between warring factions within the Coptic Orthodox Church. He actively worked towards unity and reconciliation among different Coptic Orthodox communities.","Pope Gabriel VII was a prolific writer and theologian, contributing extensively to the development of Coptic Orthodox theology and doctrine. His writings emphasized the importance of spiritual growth and adherence to traditional practices.","Pope Gabriel VII worked tirelessly for social justice, advocating for the rights of marginalized communities and spearheading initiatives to alleviate poverty and improve education and healthcare in Coptic Orthodox communities.",D
5982,What was the purpose of St Fillans railway station?,"St Fillans railway station was solely used for tourist purposes, providing scenic train rides for visitors in the area.",St Fillans railway station was a freight station used for transporting goods and materials across Scotland.,"St Fillans railway station was a temporary station, only operational during specific periods or events.","St Fillans railway station was primarily a passenger station, facilitating travel to and from St Fillans.","St Fillans railway station served as a major hub for transportation in the region, connecting various towns and villages nearby.",D
5983,What is the term used to describe the maximum capacity of water storage in the Ikari Dam?,Catchment area,Impounded land,Dam capacity,Storage volume,Cubic meters of water,D
5984,What is the purpose of the Multiverse United 2 event?,The Multiverse United 2 event will showcase various mixed martial arts fights alongside professional wrestling matches.,The Multiverse United 2 event will introduce a new wrestling promotion that aims to revolutionize the industry.,The Multiverse United 2 event will focus on raising awareness and funds for a specific charitable cause.,The Multiverse United 2 event will serve as a platform for organizations like Impact Wrestling and New Japan Pro-Wrestling to collaborate and promote their talent.,The Multiverse United 2 event will feature a live concert by a popular musical artist.,D
5985,"Which book is the first in the Sally Lockhart Quartet, written by Philip Pullman?",The Tiger in the Well,The Amber Spyglass,The Shadow in the North,The Tin Princess,The Ruby in the Smoke,E
5986,How was the Lebanon national rugby league team formed?,The team was formed by Lebanese Australians in 2002 and have been administered by the Lebanese Rugby League Federation since then.,The team was formed by Lebanese Australians in 1997 and have been administered by the Lebanese Rugby League Federation since 2002.,The team was formed by rugby league enthusiasts in Lebanon in 2002 and have been administered by the Lebanese Rugby League Federation since then.,The team was formed by a group of international rugby league players in 2002 and have been administered by the Lebanese Rugby League Federation since then.,The team was established by the Lebanese government in 1997 and have been administered by the Lebanese Rugby League Federation since then.,B
5987,Where is Dryopteris inaequalis primarily found?,Dryopteris inaequalis is primarily found in forests in Europe.,Dryopteris inaequalis is primarily found in forests in Africa.,Dryopteris inaequalis is primarily found in forests in North America.,Dryopteris inaequalis is primarily found in forests in South America.,Dryopteris inaequalis is primarily found in forests in Asia.,B
5988,What is the significance of the genus Gretna in the family Hesperiidae?,Gretna is the only genus in the family Hesperiidae that belongs to the monotypic tribe Gretnini.,Gretna is the only genus in the family Hesperiidae that undergoes complete metamorphosis.,"Gretna is the largest genus in the family Hesperiidae, with over 500 recorded species.",Gretna is the only genus in the family Hesperiidae that has been observed to exhibit bioluminescence.,"Gretna is the most diverse genus of skipper butterflies in the family Hesperiidae, comprising numerous species.",A
5989,What is the shooting location of the film Keeping the Promise?,"Ontario, Canada","London, England","Tokyo, Japan","California, USA","New York, USA",A
5990,"Which historical figures are the central characters in Sir Walter Scott's novel, The Talisman?",Christopher Columbus and Ferdinand Magellan,Alexander the Great and Darius III,Julius Caesar and Cleopatra,Napoleon Bonaparte and King Louis XVI,Richard I of England and Saladin,E
5991,Which of the following statements accurately describes Wolmaransstad's main economic activity and its geographic location?,Wolmaransstad is a diamond-mining town located in the Northern Cape Province of South Africa.,Wolmaransstad is a maize-farming town located in the North West Province of South Africa.,Wolmaransstad is a platinum-mining town situated on the N1 between Johannesburg and Cape Town in South Africa.,Wolmaransstad is a gold-mining town situated on the N12 between Johannesburg and Kimberley in North West Province of South Africa.,Wolmaransstad is a coal-mining town located in the Mpumalanga Province of South Africa.,B
5992,What was Paul Kuznetsov's occupation?,He was a mathematician specializing in differential equations.,"He was a politician, serving as a member of parliament.",He was a musician and composer.,He was a painter and graphic artist.,He was an architect renowned for his innovative designs.,D
5993,What is the native habitat of Hunnemannia fumariifolia?,Hunnemannia fumariifolia is native to the highlands of Mexico.,Hunnemannia fumariifolia is native to the tropical rainforests of Mexico.,Hunnemannia fumariifolia is native to the Chihuahuan Desert and south into central Mexico.,Hunnemannia fumariifolia is native to the flat plains of Mexico.,Hunnemannia fumariifolia is native to the lowlands of Mexico.,A
5994,Which traditional area is Oseadeeyo Kwasi Akuffo III the Omanhene of in Ghana?,Asante traditional area,Akuapem traditional area,Ga traditional area,Ewe traditional area,Fante traditional area,B
5995,"What is the genre of the album ""Army of One"" by the band Riot, based on the provided Wikipedia excerpt?","Army of One is a pop album by the American heavy metal band Riot. It was released on July 12, 2006.","Army of One is an R&B album by the American heavy metal band Riot. It was released on July 12, 2006.","Army of One is a country album by the American heavy metal band Riot. It was released on July 12, 2006.","Army of One is a heavy metal album by the American heavy metal band Riot. It was released on July 12, 2006.","Army of One is a jazz album by the American heavy metal band Riot. It was released on July 12, 2006.",D
5996,"When was the remix album ""Here's the Drop!"" released?","The remix album ""Here's the Drop!"" was never released.","The remix album ""Here's the Drop!"" was released on October 4, 2019, containing remixes of the tracks by various other artists.","The remix album ""Here's the Drop!"" was released on March 30, 2018, initially exclusively on the music streaming service Tidal.","The remix album ""Here's the Drop!"" was released on March 30, 2018, initially exclusively on the music streaming service Tidal, and later on other digital download services and on vinyl.","The remix album ""Here's the Drop!"" was released on June 29, 2018, on other digital download services and on vinyl.",B
5997,How did the 1999 Toronto Argonauts fare in the East Division of the 1999 CFL season?,The 1999 Toronto Argonauts finished in 1st place in the East Division of the 1999 CFL season.,The 1999 Toronto Argonauts finished in 2nd place in the East Division of the 1999 CFL season.,The 1999 Toronto Argonauts finished in 4th place in the East Division of the 1999 CFL season.,The 1999 Toronto Argonauts finished in 3rd place in the East Division of the 1999 CFL season.,The 1999 Toronto Argonauts finished in 5th place in the East Division of the 1999 CFL season.,D
5998,Which of the following statements accurately describes the career of Yehoshua Sobol based on the provided Wikipedia excerpt?,Yehoshua Sobol is an internationally acclaimed musician known for his contributions to the field of classical music.,Yehoshua Sobol is a renowned scientist who has made significant contributions to the field of astrophysics.,Yehoshua Sobol is an Israeli politician who has served as a member of the Knesset for over two decades.,"Yehoshua Sobol is an Israeli playwright, writer, and theatre director.",Yehoshua Sobol is an award-winning architect renowned for his innovative designs in sustainable architecture.,D
5999,"How are the heights of the buildings in the East Pacific Center complex in Shenzhen, China determined?",They are determined by measuring the number of stories.,They are determined by analyzing the architectural design plans.,They are determined based on the construction materials used.,They are separately determined using a laser measurement tool.,They are determined using satellite imagery.,A
6000,"What is the significance of the name ""Bavikonda"" in Telugu?",Bavikonda means a hill with deep caves and hidden treasures.,Bavikonda means a hill with ancient monastic ruins from the 3rd century BCE.,Bavikonda means a hill with agricultural fields and plantations.,Bavikonda means a hill with wells for collecting rainwater.,Bavikonda means a hill with temples and religious structures.,D
6001,"When was The Birth of Venus: A Novel first published by Little, Brown with the title The Birth of Venus: love and death in Florence?",2004,2001,2005,2003,2002,D
6002,What is the historical significance of the Great Synagogue of Iași in Romania?,The Great Synagogue of Iași is a replica of another famous synagogue located in Romania.,The historical significance of the Great Synagogue of Iași is unknown and not documented.,"The Great Synagogue of Iași is the oldest surviving synagogue in Romania, listed in the National Register of Historic Monuments.","The Great Synagogue of Iași is a recent construction, not having any historical significance.","The Great Synagogue of Iași is the largest synagogue in Romania, attracting visitors from all over the world.",C
6003,What is one of the television sketch comedy shows that Tracey Ullman appeared in during her early career?,A Kick Up the Eighties,The Tracey Ullman Show,The Carol Burnett Show,In Living Color,Saturday Night Live,A
6004,What is the geographical location of Rostrenen?,A commune in the Île-de-France region of northern France.,A commune in the Occitanie region of southern France.,A commune in the Pyrénées-Atlantiques department and Nouvelle-Aquitaine region of southwestern France.,A commune in the Pas-de-Calais department and Hauts-de-France region of northeastern France.,A commune in the Côtes-d'Armor department and Brittany region of northwestern France.,E
6005,Who is Liliya Tagirovna Aetbaeva?,Liliya Tagirovna Aetbaeva is a Russian actress.,Liliya Tagirovna Aetbaeva is a Russian scientist.,Liliya Tagirovna Aetbaeva is a Russian politician.,Liliya Tagirovna Aetbaeva is a Russian boxer.,Liliya Tagirovna Aetbaeva is a Russian gymnast.,D
6006,What is Saint-Colomb-de-Lauzun?,Saint-Colomb-de-Lauzun is a commune in the Lot-et-Garonne department in south-western France.,Saint-Colomb-de-Lauzun is a commune in the Dordogne department in southwestern France.,Saint-Colomb-de-Lauzun is a commune in the Aveyron department in southwestern France.,Saint-Colomb-de-Lauzun is a commune in the Alpes-Maritimes department in southeastern France.,Saint-Colomb-de-Lauzun is a commune in the Aude department in southern France.,A
6007,What is Rogue Moon?,Rogue Moon is a radio drama series created by Algis Budrys in 1961.,"Rogue Moon is a memoir written by Algis Budrys, detailing his experiences as a science fiction writer in the 1960s.",Rogue Moon is a collection of science fiction short stories written by Algis Budrys and published in 1960.,"Rogue Moon is a science fiction film adaptation of a novel written by Algis Budrys, released in 1979.",Rogue Moon is a short science fiction novel written by Algis Budrys and published in 1960. It was a 1961 Hugo Award nominee.,E
6008,"What is the significance of the Longstones located in Beckhampton, Wiltshire?",The Longstones were originally used as markers to indicate the boundaries of Beckhampton in ancient times.,"The Longstones are believed to have been erected as part of a defensive structure, protecting the area from outside threats.","The Longstones are natural rock formations that have an unusual shape, resembling standing stones from a distance.","The Longstones were once part of a larger 'cove' of standing stones, which held ritualistic or ceremonial significance in the Avebury parish.","The Longstones are remnants of an ancient burial site, dating back to the prehistoric era.",D
6009,"What is the significance of the album ""Expletive Delighted!"" by Fairport Convention?","It is the band's final album, marking the end of their career in the music industry.","It was the band's first album released in 1986, consisting solely of instrumental tracks.","It is the band's only instrumental album, despite the claim ""Lyric sheet enclosed"" on the album cover.","It is the band's fifteenth studio album since their debut in 1968, containing a mix of instrumental and lyrical tracks.","It is the band's most critically acclaimed album, receiving widespread recognition for its inventive use of instrumentals.",C
6010,What is the temperature at which lithium iridate undergoes a change in its magnetic ordering?,0 K,15 K,100 K,50 K,None of the above,B
6011,What is the culture of Lahori people characterized by?,The influence of Western ideologies and lifestyle choices.,A traditional way of life that has remained unchanged for centuries.,The dominance of Middle Eastern cultural practices and traditions.,A fusion of South Asian and African cultural elements.,"The blending of South Asian, Middle Eastern, Central Asian, and Western influences.",E
6012,What is the collaboration between Jin Xiang and Wan Fang primarily known for?,"The collaboration between Jin Xiang and Wan Fang is primarily known for their adaptation of Cao Yu's play ""Sunrise"" into a Chinese contemporary classical opera.",The collaboration between Jin Xiang and Wan Fang is primarily known for their adaptation of a popular Chinese novel into a contemporary classical opera.,The collaboration between Jin Xiang and Wan Fang is primarily known for their work on a groundbreaking film that won multiple awards at international film festivals.,The collaboration between Jin Xiang and Wan Fang is primarily known for their efforts in promoting Chinese calligraphy and its cultural significance worldwide.,The collaboration between Jin Xiang and Wan Fang is primarily known for their partnership in an experimental dance project that challenged traditional dance forms.,A
6013,What contributes to the historic George Sperling House and Outbuildings in North Carolina?,"A two-story, gambrel roof mule barn with German siding.","A two-story, Classical Revival style yellow brick dwelling.",A barn built in 1927.,A contributing outbuilding built between about 1909 and 1920.,"A corn crib, hog pen, wood house, two-story granary, smokehouse, generator house, and a tack house.",E
